Country_Region,translate
US,страна США
Spain,страна Испания
Italy,страна Италия
France,страна Франция
Germany,страна Германия
China,страна Китай
Iran,страна Иран
United Kingdom,страна Великобритания
Turkey,страна Турция
Belgium,страна Бельгия
Switzerland,страна Швейцария
Netherlands,страна Нидерланды
Canada,страна Канада
Brazil,страна Бразилия
Portugal,страна Португалия
Austria,страна Австрия
"Korea, South",Страна Южная Корея
Russia,страна Россия
Israel,страна Израиль
Sweden,страна Швеция
India,страна Индия
Ireland,страна Ирландия
Norway,страна Норвегия
Australia,страна Австралия
Chile,страна Чили
Denmark,страна Дания
Poland,страна Польша
Czechia,страна Чехия
Peru,страна Перу
Romania,страна Румыния
Ecuador,страна Эквадор
Japan,страна Япония
Pakistan,страна Пакистан
Malaysia,страна Малайзия
Philippines,страна Филиппины
Indonesia,страна Индонезия
Saudi Arabia,страна Саудовская Аравия
Mexico,страна Мексика
Luxembourg,страна Люксембург
United Arab Emirates,Страна Объединенные Арабские Эмираты
Serbia,страна Сербия
Finland,страна Финляндия
Panama,страна Панама
Thailand,страна Таиланд
Qatar,страна Катар
Dominican Republic,страна Доминиканская Республика
Colombia,страна Колумбия
Greece,страна Греция
South Africa,Страна Южная Африка
Singapore,страна Сингапур
Ukraine,страна Украина
Argentina,страна Аргентина
Egypt,страна Египет
Algeria,страна Алжир
Iceland,страна Исландия
Belarus,страна Беларусь
Croatia,страна Хорватия
Morocco,страна Марокко
Moldova,страна Молдова
New Zealand,страна Новая Зеландия
Iraq,страна Ирак
Estonia,страна Эстония
Slovenia,страна Словения
Hungary,страна Венгрия
Lithuania,страна Литва
Azerbaijan,страна Азербайджан
Armenia,страна Армения
Kuwait,страна Кувейт
Bahrain,страна Бахрейн
Bosnia and Herzegovina,страна Босния и Герцеговина
Kazakhstan,страна Казахстан
Cameroon,страна Камерун
Diamond Princess,страна Алмазная принцесса
Slovakia,страна Словакия
North Macedonia,страна Северная Македония
Tunisia,страна Тунис
Bulgaria,страна Болгария
Latvia,страна Латвия
Andorra,страна Андорра
Lebanon,страна Ливан
Uzbekistan,страна Узбекистан
Cyprus,страна Кипр
Costa Rica,страна Коста-Рика
Cuba,страна Куба
Afghanistan,страна Афганистан
Oman,страна Оман
Uruguay,страна Уругвай
Cote d'Ivoire,страна Кот-д'Ивуар
Burkina Faso,страна Буркина-Фасо
Niger,страна Нигер
Albania,страна Албания
Taiwan*,страна Тайвань *
Ghana,страна Гана
Jordan,страна Иордания
Honduras,страна Гондурас
Malta,страна Мальта
San Marino,страна Сан-Марино
Bangladesh,страна Бангладеш
Mauritius,страна Маврикий
Nigeria,страна Нигерия
Kyrgyzstan,страна Кыргызстан
Bolivia,страна Боливия
West Bank and Gaza,страна Западный берег и сектор Газа
Vietnam,страна Вьетнам
Montenegro,страна Черногория
Senegal,страна Сенегал
Georgia,страна Грузия
Guinea,страна Гвинея
Sri Lanka,страна Шри-Ланка
Kosovo,страна Косово
Kenya,страна Кения
Congo (Kinshasa),страна Конго (Киншаса)
Venezuela,страна Венесуэла
Djibouti,страна Джибути
Brunei,страна Бруней
Paraguay,страна Парагвай
Cambodia,страна Камбоджа
Rwanda,страна Руанда
Trinidad and Tobago,страна Тринидад и Тобаго
El Salvador,страна Сальвадор
Guatemala,страна Гватемала
Madagascar,страна Мадагаскар
Monaco,страна Монако
Liechtenstein,страна Лихтенштейн
Mali,страна Мали
Togo,страна Того
Barbados,страна Барбадос
Jamaica,страна Ямайка
Congo (Brazzaville),страна Конго (Браззавиль)
Ethiopia,страна Эфиопия
Uganda,страна Уганда
Gabon,страна Габон
Bahamas,страна Багамские о-ва
Zambia,страна Замбия
Guyana,страна Гайана
Guinea-Bissau,страна Гвинея-Бисау
Eritrea,страна Эритрея
Liberia,страна Либерия
Haiti,страна Гаити
Benin,страна Бенин
Tanzania,страна Танзания
Libya,страна Ливия
Burma,страна Бирма
Maldives,страна Мальдивские о-ва
Syria,страна Сирия
Antigua and Barbuda,страна Антигуа и Барбуда
Angola,страна Ангола
Equatorial Guinea,страна Экваториальная Гвинея
Mozambique,страна Мозамбик
Namibia,страна Намибия
Laos,страна Лаос
Mongolia,страна Монголия
Fiji,страна Фиджи
Dominica,страна Доминика
Sudan,страна Судан
Saint Lucia,страна Сент-Люсия
Botswana,страна Ботсвана
Grenada,страна Гренада
Saint Vincent and the Grenadines,страна Сент-Винсент и Гренадины
Somalia,страна Сомали
Eswatini,страна Eswatini
Zimbabwe,страна Зимбабве
Chad,страна Чад
Saint Kitts and Nevis,страна Сент-Китс и Невис
Seychelles,страна Сейшелы
Suriname,страна Суринам
MS Zaandam,страна MS Зандам
Nepal,страна Непал
Belize,страна Белиз
Malawi,страна Малави
Holy See,страна Святой Престол
Central African Republic,страна Центрально-Африканская Республика
Nicaragua,страна Никарагуа
Mauritania,страна Мавритания
Sierra Leone,страна Сьерра-Леоне
Cabo Verde,страна Кабо-Верде
Bhutan,страна Бутан
Sao Tome and Principe,страна Сан-Томе и Принсипи
Western Sahara,страна Западная Сахара
Gambia,страна Гамбия
Burundi,страна Бурунди
South Sudan,страна Южный Судан
Papua New Guinea,страна Папуа-Новая Гвинея
Timor-Leste,страна Восточный Тимор
